,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_mexican_restaurant,full_address,geocoded
313,WEouNHHxfqGa8gYAnyiyBA,"""El Palenque""","""5945 Andrews Rd""",Mentor-on-the-Lake,OH,44060,41.7093216,-81.35946129999999,3.5,3,1,"5945 Andrews Rd, Mentor-on-the-Lake, OH, 44060","(41.7093216, -81.35946129999999)"
478,to2cGMKdaw7ZHbXMzpfhlA,"""Filiberto's Mexican Rest""","""3218 E Mcdowell Rd""",Phoenix,AZ,85008,33.46600430000001,-112.0122861,3.0,7,1,"3218 E Mcdowell Rd, Phoenix, AZ, 85008","(33.46600430000001, -112.0122861)"
868,kiU9C58n7dgygdrpjOQXMQ,"""Los Jarochos Restaurant""","""4811 S Rainbow Blvd""",Las Vegas,NV,89147,36.1010205,-115.2443122,4.0,62,1,"4811 S Rainbow Blvd, Las Vegas, NV, 89147","(36.1010205, -115.2443122)"
951,Ka3z0iudeviL2nEKZ4BeYg,"""Tijuana Flats""","""1608 E Blvd""",Charlotte,NC,28203,35.1993181,-80.8413576,4.0,50,1,"1608 E Blvd, Charlotte, NC, 28203","(35.1993181, -80.8413576)"
962,v0KawuAO7clhXCDKobFs0g,"""Currito - Burritos Without Borders""","""Pittsburgh International Airport""",Pittsburgh,PA,15231,40.495309,-80.2352913,3.0,71,1,"Pittsburgh International Airport, Pittsburgh, PA, 15231","(40.495309, -80.2352913)"
1338,M7N_LeUEcQTfzaeCgJL5mg,"""Spanish Fly""","""4341 N 75th St""",Scottsdale,AZ,85251,33.4997219,-111.9198255,3.5,55,1,"4341 N 75th St, Scottsdale, AZ, 85251","(33.4997219, -111.9198255)"
1509,izR8yDpeFmI3vGylKc7Bsg,"""Restaurant La Hacienda""","""1148 Van Horne Avenue""",Outremont,QC,H2V 1J8,45.5233354,-73.6121939,3.5,3,1,"1148 Van Horne Avenue, Outremont, QC, H2V 1J8","(45.5233354, -73.6121939)"
1740,tyCOrWRRqrg6sym4lKkVZg,"""Huerta's Bakery""","""1165-1185 E Desert Inn Rd""",Las Vegas,NV,89109,36.129712,-115.1378,3.0,4,1,"1165-1185 E Desert Inn Rd, Las Vegas, NV, 89109","(36.129712, -115.1378)"
1808,2GfKCR3S8I2m0iiyEd3sKA,"""Blue Agave""","""4321 W Flamingo Rd""",Las Vegas,NV,89103,36.1140617,-115.1928992,1.5,5,1,"4321 W Flamingo Rd, Las Vegas, NV, 89103","(36.1140617, -115.1928992)"
1872,T9QjpTZPcWEa3i96tdLHbw,"""Cuco's Mexican Restaurant""","""1050 N Edge Trl""",Verona,WI,53593,43.0028325,-89.5328854,3.0,47,1,"1050 N Edge Trl, Verona, WI, 53593","(43.0028325, -89.5328854)"
2306,Lqp3uwGJU6CHyys-eerMmQ,"""La Tolteca Mexican Foods""","""1205 E Van Buren St""",Phoenix,AZ,85006,33.4511537,-112.0561796,4.0,153,1,"1205 E Van Buren St, Phoenix, AZ, 85006","(33.4511537, -112.0561796)"
